UnitID,US FR,YR,SUM,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY, Unknown_state , Foreign 
124292,115,2020,123,0,1,6,2,41,1,3,0,0,0,1,0,1,4,1,0,1,0,0,0,2,5,2,5,0,5,0,3,0,1,2,0,3,1,0,3,0,2,5,0,0,0,0,5,0,0,6,1,0,1,1,0,8
124487,3,2021,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125727,325,2021,333,0,1,7,1,224,12,1,0,1,1,2,3,1,6,0,0,2,1,0,0,1,1,1,3,0,0,1,0,1,0,2,0,1,1,0,2,0,14,2,0,1,0,2,9,0,0,2,18,0,0,0,0,8
125763,230,2020,238,1,0,2,0,176,4,1,0,1,1,3,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,3,2,5,1,0,1,0,7,0,0,0,0,1,2,1,0,0,9,0,0,0,0,8
125897,132,2020,139,0,0,1,0,105,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,3,0,2,0,1,2,0,0,0,1,4,0,0,0,0,0,0,0,0,7
126076,50,2020,51,0,0,0,0,39,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
126669,677,2020,679,8,4,27,1,40,206,2,1,1,26,14,5,4,19,9,3,14,3,10,1,5,2,8,23,10,9,4,9,8,2,3,8,10,11,0,10,10,4,6,0,7,5,9,79,2,0,4,15,2,9,5,0,2
126678,504,2020,537,0,2,7,1,55,129,16,0,4,6,5,2,3,33,0,1,3,2,0,6,13,30,2,24,1,8,1,2,1,0,5,5,27,14,0,2,6,9,10,0,0,2,7,28,3,3,12,12,0,2,0,0,33
127060,1522,2021,1620,6,7,17,7,153,444,38,2,5,23,17,14,8,107,15,4,15,2,6,7,0,30,13,77,4,36,4,6,7,17,22,37,30,10,3,32,15,31,15,3,2,3,20,86,8,20,26,34,1,28,5,57,41
127653,27,2021,29,0,0,1,0,4,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
127714,19,2021,19,1,0,0,1,1,0,0,0,0,1,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
127918,475,2020,480,0,1,10,0,19,311,0,0,0,2,0,2,0,10,0,2,2,2,1,0,2,0,1,5,1,20,3,7,0,0,0,19,4,0,0,4,1,5,4,0,0,1,2,19,2,0,0,8,0,4,1,0,5
127954,4,2020,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128498,178,2021,187,0,0,0,0,1,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,10,0,0,1,0,0,1,3,0,0,1,2,0,1,0,0,0,0,0,0,9
128586,19,2020,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
128744,221,2021,236,0,0,4,0,2,1,115,1,0,8,1,0,0,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,2,5,0,58,0,0,0,1,0,4,3,0,0,0,4,0,0,0,0,0,0,0,0,15
128902,459,2021,491,0,0,1,0,28,2,69,2,3,2,3,3,1,15,0,0,0,0,0,13,9,125,1,2,0,0,0,0,1,11,30,0,75,4,0,0,0,1,17,7,0,1,0,13,2,6,8,2,0,2,0,1,31
129154,321,2021,321,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129242,1241,2021,1254,0,0,0,0,9,1,195,0,2,7,3,1,0,15,0,0,0,0,0,12,13,320,2,1,0,0,0,0,0,22,240,0,297,0,0,0,1,0,61,17,2,0,1,2,0,4,9,4,0,0,0,0,13
129525,943,2021,977,0,0,1,0,12,0,451,1,3,9,3,1,0,3,3,0,2,0,0,10,7,114,2,2,1,2,0,1,0,20,64,0,176,3,0,1,0,0,18,14,2,0,0,4,1,4,4,1,0,3,0,3,31
